num,namespace,pass,reasons
150,LC.P0150,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
151,LC.P0151,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
153,LC.P0153,False,"no closed test vector about sol (vec*)"
155,LC.P0155,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
161,LC.P0161,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
162,LC.P0162,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
163,LC.P0163,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
167,LC.P0167,False,"no closed test vector about sol (vec*)"
169,LC.P0169,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
172,LC.P0172,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
173,LC.P0173,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
186,LC.P0186,True,""
188,LC.P0188,True,""
191,LC.P0191,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
198,LC.P0198,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
199,LC.P0199,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
200,LC.P0200,False,"no closed test vector about sol (vec*)"
202,LC.P0202,False,"no closed test vector about sol (vec*)"
203,LC.P0203,False,"no closed test vector about sol (vec*)"
205,LC.P0205,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
206,LC.P0206,False,"no closed test vector about sol (vec*)"
207,LC.P0207,False,"no closed test vector about sol (vec*)"
208,LC.P0208,True,""
209,LC.P0209,True,""
210,LC.P0210,True,""
211,LC.P0211,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
212,LC.P0212,False,"no closed test vector about sol (vec*)"
213,LC.P0213,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
217,LC.P0217,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
219,LC.P0219,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
226,LC.P0226,True,""
228,LC.P0228,False,"no closed test vector about sol (vec*)"
229,LC.P0229,True,""
230,LC.P0230,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
231,LC.P0231,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
234,LC.P0234,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
235,LC.P0235,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
238,LC.P0238,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
240,LC.P0240,False,"no closed test vector about sol (vec*)"
242,LC.P0242,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
252,LC.P0252,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
253,LC.P0253,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
254,LC.P0254,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
258,LC.P0258,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
261,LC.P0261,False,"no closed test vector about sol (vec*)"
268,LC.P0268,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
269,LC.P0269,True,""
270,LC.P0270,True,""
274,LC.P0274,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
277,LC.P0277,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
278,LC.P0278,True,""
283,LC.P0283,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
286,LC.P0286,False,"no closed test vector about sol (vec*)"
287,LC.P0287,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
290,LC.P0290,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
297,LC.P0297,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
303,LC.P0303,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
305,LC.P0305,False,"no closed test vector about sol (vec*)"
309,LC.P0309,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
312,LC.P0312,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
314,LC.P0314,True,""
322,LC.P0322,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
323,LC.P0323,False,"no closed test vector about sol (vec*)"
328,LC.P0328,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
329,LC.P0329,True,""
332,LC.P0332,False,"no closed test vector about sol (vec*)"
344,LC.P0344,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
349,LC.P0349,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
368,LC.P0368,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
378,LC.P0378,True,""
383,LC.P0383,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
387,LC.P0387,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
392,LC.P0392,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
399,LC.P0399,False,"no closed test vector about sol (vec*)"
408,LC.P0408,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
410,LC.P0410,False,"no closed test vector about sol (vec*)"
415,LC.P0415,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
416,LC.P0416,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
417,LC.P0417,False,"no closed test vector about sol (vec*)"
419,LC.P0419,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
427,LC.P0427,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
433,LC.P0433,False,"no closed test vector about sol (vec*)"
442,LC.P0442,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
443,LC.P0443,False,"no closed test vector about sol (vec*)"
448,LC.P0448,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
463,LC.P0463,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
485,LC.P0485,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
489,LC.P0489,False,"no closed test vector about sol (vec*)"
494,LC.P0494,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
496,LC.P0496,False,"no sol; cls statement does not reference sol; no corr; no closed test vector about sol (vec*)"
505,LC.P0505,True,""
509,LC.P0509,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
516,LC.P0516,True,""
528,LC.P0528,False,"no closed test vector about sol (vec*)"
536,LC.P0536,True,""
540,LC.P0540,False,"no closed test vector about sol (vec*)"
541,LC.P0541,True,""
542,LC.P0542,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
543,LC.P0543,True,""
545,LC.P0545,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
547,LC.P0547,False,"no closed test vector about sol (vec*)"
549,LC.P0549,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
560,LC.P0560,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
567,LC.P0567,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
611,LC.P0611,True,""
636,LC.P0636,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
642,LC.P0642,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
647,LC.P0647,True,""
648,LC.P0648,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
658,LC.P0658,False,"no closed test vector about sol (vec*)"
662,LC.P0662,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
680,LC.P0680,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
713,LC.P0713,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
714,LC.P0714,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
719,LC.P0719,True,""
724,LC.P0724,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
733,LC.P0733,False,"no closed test vector about sol (vec*)"
735,LC.P0735,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
736,LC.P0736,True,""
759,LC.P0759,True,""
778,LC.P0778,False,"no closed test vector about sol (vec*)"
785,LC.P0785,False,"no closed test vector about sol (vec*)"
787,LC.P0787,False,"no closed test vector about sol (vec*)"
797,LC.P0797,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
799,LC.P0799,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
815,LC.P0815,True,""
824,LC.P0824,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
825,LC.P0825,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
833,LC.P0833,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
852,LC.P0852,False,"no closed test vector about sol (vec*)"
863,LC.P0863,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
875,LC.P0875,False,"no closed test vector about sol (vec*)"
889,LC.P0889,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
898,LC.P0898,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
901,LC.P0901,False,"no sol; cls statement does not reference sol; no corr; no closed test vector about sol (vec*)"
907,LC.P0907,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
921,LC.P0921,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
931,LC.P0931,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
934,LC.P0934,False,"no closed test vector about sol (vec*)"
939,LC.P0939,True,""
941,LC.P0941,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
959,LC.P0959,False,"no closed test vector about sol (vec*)"
981,LC.P0981,False,"no closed test vector about sol (vec*)"
983,LC.P0983,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
986,LC.P0986,True,""
992,LC.P0992,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
994,LC.P0994,False,"no closed test vector about sol (vec*)"
996,LC.P0996,True,""
1004,LC.P1004,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1011,LC.P1011,False,"no closed test vector about sol (vec*)"
1047,LC.P1047,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1060,LC.P1060,False,"no closed test vector about sol (vec*)"
1064,LC.P1064,False,"no closed test vector about sol (vec*)"
1091,LC.P1091,False,"no closed test vector about sol (vec*)"
1094,LC.P1094,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1166,LC.P1166,True,""
1171,LC.P1171,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1202,LC.P1202,False,"no closed test vector about sol (vec*)"
1209,LC.P1209,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1235,LC.P1235,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1239,LC.P1239,True,""
1268,LC.P1268,True,""
1347,LC.P1347,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1368,LC.P1368,False,"no closed test vector about sol (vec*)"
1385,LC.P1385,True,""
1387,LC.P1387,True,""
1423,LC.P1423,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1428,LC.P1428,False,"no closed test vector about sol (vec*)"
1438,LC.P1438,True,""
1443,LC.P1443,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1462,LC.P1462,False,"no closed test vector about sol (vec*)"
1466,LC.P1466,False,"corr statement does not reference sol; no closed test vector about sol (vec*)"
1480,LC.P1480,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1482,LC.P1482,False,"no closed test vector about sol (vec*)"
1492,LC.P1492,True,""
1494,LC.P1494,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1539,LC.P1539,False,"no closed test vector about sol (vec*)"
1584,LC.P1584,False,"no closed test vector about sol (vec*)"
1614,LC.P1614,True,""
1648,LC.P1648,False,"no closed test vector about sol (vec*)"
1657,LC.P1657,True,""
1673,LC.P1673,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1674,LC.P1674,True,""
1691,LC.P1691,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1719,LC.P1719,False,"no closed test vector about sol (vec*)"
1768,LC.P1768,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
1778,LC.P1778,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1818,LC.P1818,False,"no closed test vector about sol (vec*)"
1823,LC.P1823,True,""
1856,LC.P1856,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
1868,LC.P1868,True,""
1871,LC.P1871,False,"no closed test vector about sol (vec*)"
1915,LC.P1915,True,""
1971,LC.P1971,False,"no closed test vector about sol (vec*)"
2050,LC.P2050,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
2092,LC.P2092,False,"no closed test vector about sol (vec*)"
2149,LC.P2149,True,""
2150,LC.P2150,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
2187,LC.P2187,False,"no closed test vector about sol (vec*)"
2214,LC.P2214,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
2258,LC.P2258,False,"no closed test vector about sol (vec*)"
2282,LC.P2282,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
2337,LC.P2337,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
2385,LC.P2385,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
2423,LC.P2423,True,""
2444,LC.P2444,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
2493,LC.P2493,True,""
2503,LC.P2503,False,"no closed test vector about sol (vec*)"
2661,LC.P2661,False,"no closed test vector about sol (vec*)"
2791,LC.P2791,True,""
2858,LC.P2858,True,""
2861,LC.P2861,True,""
2912,LC.P2912,True,""
2948,LC.P2948,True,""
2965,LC.P2965,True,""
3043,LC.P3043,True,""
3120,LC.P3120,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
3129,LC.P3129,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
3161,LC.P3161,False,"no closed test vector about sol (vec*)"
3371,LC.P3371,True,""
3387,LC.P3387,False,"no closed test vector about sol (vec*)"
3453,LC.P3453,True,""
3466,LC.P3466,True,""
3629,LC.P3629,True,""
3637,LC.P3637,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
3741,LC.P3741,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
3742,LC.P3742,True,""
3928,LC.P3928,False,"no closed test vector about sol (vec*)"
